INSTANCE NAME	Solomon_RC104-025
PLANNING HORIZON	240.0
VEHICLE CAPACITY	200.0

LOCATIONS
ID	NO	XCOORD	YCOORD
0	0	40.0	50.0
1	1	25.0	85.0
2	2	22.0	75.0
3	3	22.0	85.0
4	4	20.0	80.0
5	5	20.0	85.0
6	6	18.0	75.0
7	7	15.0	75.0
8	8	15.0	80.0
9	9	10.0	35.0
10	10	10.0	40.0
11	11	8.0	40.0
12	12	8.0	45.0
13	13	5.0	35.0
14	14	5.0	45.0
15	15	2.0	40.0
16	16	0.0	40.0
17	17	0.0	45.0
18	18	44.0	5.0
19	19	42.0	10.0
20	20	42.0	15.0
21	21	40.0	5.0
22	22	40.0	15.0
23	23	38.0	5.0
24	24	38.0	15.0
25	25	35.0	5.0

TASKS
ID	NO	LOC ID	MANDATORY	DEMAND	SERVICE TIME	TW LOW	TW HIGH
1	1	1	1	20.0	10.0	0.0	191.0
2	2	2	1	30.0	10.0	0.0	199.0
3	3	3	1	10.0	10.0	0.0	190.0
4	4	4	1	40.0	10.0	141.0	171.0
5	5	5	1	20.0	10.0	0.0	189.0
6	6	6	1	20.0	10.0	0.0	196.0
7	7	7	1	20.0	10.0	0.0	194.0
8	8	8	1	10.0	10.0	91.0	121.0
9	9	9	1	20.0	10.0	91.0	121.0
10	10	10	1	30.0	10.0	0.0	198.0
11	11	11	1	40.0	10.0	59.0	89.0
12	12	12	1	20.0	10.0	0.0	197.0
13	13	13	1	10.0	10.0	142.0	172.0
14	14	14	1	10.0	10.0	0.0	194.0
15	15	15	1	20.0	10.0	58.0	88.0
16	16	16	1	20.0	10.0	0.0	188.0
17	17	17	1	20.0	10.0	0.0	189.0
18	18	18	1	20.0	10.0	0.0	184.0
19	19	19	1	40.0	10.0	0.0	189.0
20	20	20	1	10.0	10.0	0.0	194.0
21	21	21	1	10.0	10.0	0.0	185.0
22	22	22	1	40.0	10.0	0.0	195.0
23	23	23	1	30.0	10.0	65.0	95.0
24	24	24	1	10.0	10.0	0.0	194.0
25	25	25	1	20.0	10.0	154.0	184.0
28	103	3	1	10.0	10.0	0.0	190.0
34	109	9	1	20.0	10.0	91.0	121.0
44	119	19	1	40.0	10.0	0.0	189.0
45	120	20	1	10.0	10.0	0.0	194.0
47	122	22	1	40.0	10.0	0.0	195.0
49	124	24	1	10.0	10.0	0.0	194.0
51	9999	0	1	0.0	0.0	0.0	240.0

OPERATIONS
ID	NO	TSK I ID	TSK J ID	MANDATORY	lambdaIJ	muIJ	muJI
0	1	22	47	1	0	7	-
1	2	45	20	1	0	7	-
2	3	19	44	1	0	7	-
3	4	9	34	1	0	7	-
4	5	28	3	1	0	7	-
5	6	49	24	1	0	7	-
