INSTANCE NAME	Solomon_R105-025
PLANNING HORIZON	230.0
VEHICLE CAPACITY	200.0

LOCATIONS
ID	NO	XCOORD	YCOORD
0	0	35.0	35.0
1	1	41.0	49.0
2	2	35.0	17.0
3	3	55.0	45.0
4	4	55.0	20.0
5	5	15.0	30.0
6	6	25.0	30.0
7	7	20.0	50.0
8	8	10.0	43.0
9	9	55.0	60.0
10	10	30.0	60.0
11	11	20.0	65.0
12	12	50.0	35.0
13	13	30.0	25.0
14	14	15.0	10.0
15	15	30.0	5.0
16	16	10.0	20.0
17	17	5.0	30.0
18	18	20.0	40.0
19	19	15.0	60.0
20	20	45.0	65.0
21	21	45.0	20.0
22	22	45.0	10.0
23	23	55.0	5.0
24	24	65.0	35.0
25	25	65.0	20.0

TASKS
ID	NO	LOC ID	MANDATORY	DEMAND	SERVICE TIME	TW LOW	TW HIGH
1	1	1	1	10.0	10.0	151.0	181.0
2	2	2	1	7.0	10.0	40.0	70.0
3	3	3	1	13.0	10.0	106.0	136.0
4	4	4	1	19.0	10.0	139.0	169.0
5	5	5	1	26.0	10.0	24.0	54.0
6	6	6	1	3.0	10.0	89.0	119.0
7	7	7	1	5.0	10.0	71.0	101.0
8	8	8	1	9.0	10.0	85.0	115.0
9	9	9	1	16.0	10.0	87.0	117.0
10	10	10	1	16.0	10.0	114.0	144.0
11	11	11	1	12.0	10.0	57.0	87.0
12	12	12	1	19.0	10.0	53.0	83.0
13	13	13	1	23.0	10.0	149.0	179.0
14	14	14	1	20.0	10.0	32.0	62.0
15	15	15	1	8.0	10.0	51.0	81.0
16	16	16	1	19.0	10.0	65.0	95.0
17	17	17	1	2.0	10.0	147.0	177.0
18	18	18	1	12.0	10.0	77.0	107.0
19	19	19	1	17.0	10.0	66.0	96.0
20	20	20	1	9.0	10.0	116.0	146.0
21	21	21	1	11.0	10.0	52.0	82.0
22	22	22	1	18.0	10.0	87.0	117.0
23	23	23	1	29.0	10.0	58.0	88.0
24	24	24	1	3.0	10.0	143.0	173.0
25	25	25	1	6.0	10.0	156.0	186.0
26	101	1	1	10.0	10.0	151.0	181.0
27	102	2	1	7.0	10.0	40.0	70.0
45	120	20	1	9.0	10.0	116.0	146.0
47	122	22	1	18.0	10.0	87.0	117.0
48	123	23	1	29.0	10.0	58.0	88.0
50	125	25	1	6.0	10.0	156.0	186.0
51	9999	0	1	0.0	0.0	0.0	230.0

OPERATIONS
ID	NO	TSK I ID	TSK J ID	MANDATORY	lambdaIJ	muIJ	muJI
0	1	47	22	1	0	0	-
1	2	1	26	1	0	0	-
2	3	45	20	1	0	0	-
3	4	2	27	1	0	0	-
4	5	50	25	1	0	0	-
5	6	48	23	1	0	0	-
