INSTANCE NAME	Solomon_RC205-025
PLANNING HORIZON	960.0
VEHICLE CAPACITY	1000.0

LOCATIONS
ID	NO	XCOORD	YCOORD
0	0	40.0	50.0
1	1	25.0	85.0
2	2	22.0	75.0
3	3	22.0	85.0
4	4	20.0	80.0
5	5	20.0	85.0
6	6	18.0	75.0
7	7	15.0	75.0
8	8	15.0	80.0
9	9	10.0	35.0
10	10	10.0	40.0
11	11	8.0	40.0
12	12	8.0	45.0
13	13	5.0	35.0
14	14	5.0	45.0
15	15	2.0	40.0
16	16	0.0	40.0
17	17	0.0	45.0
18	18	44.0	5.0
19	19	42.0	10.0
20	20	42.0	15.0
21	21	40.0	5.0
22	22	40.0	15.0
23	23	38.0	5.0
24	24	38.0	15.0
25	25	35.0	5.0

TASKS
ID	NO	LOC ID	MANDATORY	DEMAND	SERVICE TIME	TW LOW	TW HIGH
1	1	1	1	20.0	10.0	431.0	911.0
2	2	2	1	30.0	10.0	30.0	510.0
3	3	3	1	10.0	10.0	291.0	771.0
4	4	4	1	40.0	10.0	674.0	734.0
5	5	5	1	20.0	10.0	40.0	520.0
6	6	6	1	20.0	10.0	393.0	502.0
7	7	7	1	20.0	10.0	120.0	600.0
8	8	8	1	10.0	10.0	397.0	457.0
9	9	9	1	20.0	10.0	401.0	461.0
10	10	10	1	30.0	10.0	535.0	622.0
11	11	11	1	40.0	10.0	225.0	285.0
12	12	12	1	20.0	10.0	43.0	523.0
13	13	13	1	10.0	10.0	683.0	743.0
14	14	14	1	10.0	10.0	35.0	366.0
15	15	15	1	20.0	10.0	204.0	264.0
16	16	16	1	20.0	10.0	204.0	425.0
17	17	17	1	20.0	10.0	698.0	827.0
18	18	18	1	20.0	10.0	306.0	483.0
19	19	19	1	40.0	10.0	199.0	428.0
20	20	20	1	10.0	10.0	494.0	699.0
21	21	21	1	10.0	10.0	45.0	525.0
22	22	22	1	40.0	10.0	383.0	486.0
23	23	23	1	30.0	10.0	231.0	291.0
24	24	24	1	10.0	10.0	609.0	872.0
25	25	25	1	20.0	10.0	821.0	881.0
29	104	4	1	40.0	10.0	674.0	734.0
30	105	5	1	20.0	10.0	40.0	520.0
34	109	9	1	20.0	10.0	401.0	461.0
41	116	16	1	20.0	10.0	204.0	425.0
45	120	20	1	10.0	10.0	494.0	699.0
46	121	21	1	10.0	10.0	45.0	525.0
51	9999	0	1	0.0	0.0	0.0	960.0

OPERATIONS
ID	NO	TSK I ID	TSK J ID	MANDATORY	lambdaIJ	muIJ	muJI
0	1	16	41	1	0	0	-
1	2	20	45	1	0	0	-
2	3	21	46	1	0	0	-
3	4	9	34	1	0	0	-
4	5	29	4	1	0	0	-
5	6	5	30	1	0	0	-
