INSTANCE NAME	Solomon_RC206-025
PLANNING HORIZON	960.0
VEHICLE CAPACITY	1000.0

LOCATIONS
ID	NO	XCOORD	YCOORD
0	0	40.0	50.0
1	1	25.0	85.0
2	2	22.0	75.0
3	3	22.0	85.0
4	4	20.0	80.0
5	5	20.0	85.0
6	6	18.0	75.0
7	7	15.0	75.0
8	8	15.0	80.0
9	9	10.0	35.0
10	10	10.0	40.0
11	11	8.0	40.0
12	12	8.0	45.0
13	13	5.0	35.0
14	14	5.0	45.0
15	15	2.0	40.0
16	16	0.0	40.0
17	17	0.0	45.0
18	18	44.0	5.0
19	19	42.0	10.0
20	20	42.0	15.0
21	21	40.0	5.0
22	22	40.0	15.0
23	23	38.0	5.0
24	24	38.0	15.0
25	25	35.0	5.0

TASKS
ID	NO	LOC ID	MANDATORY	DEMAND	SERVICE TIME	TW LOW	TW HIGH
1	1	1	1	20.0	10.0	613.0	853.0
2	2	2	1	30.0	10.0	92.0	332.0
3	3	3	1	10.0	10.0	411.0	651.0
4	4	4	1	40.0	10.0	584.0	824.0
5	5	5	1	20.0	10.0	40.0	280.0
6	6	6	1	20.0	10.0	328.0	568.0
7	7	7	1	20.0	10.0	240.0	480.0
8	8	8	1	10.0	10.0	307.0	547.0
9	9	9	1	20.0	10.0	311.0	551.0
10	10	10	1	30.0	10.0	459.0	699.0
11	11	11	1	40.0	10.0	135.0	375.0
12	12	12	1	20.0	10.0	163.0	403.0
13	13	13	1	10.0	10.0	593.0	833.0
14	14	14	1	10.0	10.0	35.0	275.0
15	15	15	1	20.0	10.0	114.0	354.0
16	16	16	1	20.0	10.0	195.0	435.0
17	17	17	1	20.0	10.0	643.0	883.0
18	18	18	1	20.0	10.0	275.0	515.0
19	19	19	1	40.0	10.0	194.0	434.0
20	20	20	1	10.0	10.0	477.0	717.0
21	21	21	1	10.0	10.0	155.0	395.0
22	22	22	1	40.0	10.0	315.0	555.0
23	23	23	1	30.0	10.0	141.0	381.0
24	24	24	1	10.0	10.0	621.0	861.0
25	25	25	1	20.0	10.0	664.0	904.0
26	101	1	1	20.0	10.0	613.0	853.0
39	114	14	1	10.0	10.0	35.0	275.0
41	116	16	1	20.0	10.0	195.0	435.0
43	118	18	1	20.0	10.0	275.0	515.0
45	120	20	1	10.0	10.0	477.0	717.0
49	124	24	1	10.0	10.0	621.0	861.0
51	9999	0	1	0.0	0.0	0.0	960.0

OPERATIONS
ID	NO	TSK I ID	TSK J ID	MANDATORY	lambdaIJ	muIJ	muJI
0	1	20	45	1	0	0	-
1	2	49	24	1	0	0	-
2	3	39	14	1	0	0	-
3	4	43	18	1	0	0	-
4	5	16	41	1	0	0	-
5	6	26	1	1	0	0	-
