INSTANCE NAME	Solomon_RC207-025
PLANNING HORIZON	960.0
VEHICLE CAPACITY	1000.0

LOCATIONS
ID	NO	XCOORD	YCOORD
0	0	40.0	50.0
1	1	25.0	85.0
2	2	22.0	75.0
3	3	22.0	85.0
4	4	20.0	80.0
5	5	20.0	85.0
6	6	18.0	75.0
7	7	15.0	75.0
8	8	15.0	80.0
9	9	10.0	35.0
10	10	10.0	40.0
11	11	8.0	40.0
12	12	8.0	45.0
13	13	5.0	35.0
14	14	5.0	45.0
15	15	2.0	40.0
16	16	0.0	40.0
17	17	0.0	45.0
18	18	44.0	5.0
19	19	42.0	10.0
20	20	42.0	15.0
21	21	40.0	5.0
22	22	40.0	15.0
23	23	38.0	5.0
24	24	38.0	15.0
25	25	35.0	5.0

TASKS
ID	NO	LOC ID	MANDATORY	DEMAND	SERVICE TIME	TW LOW	TW HIGH
1	1	1	1	20.0	10.0	591.0	874.0
2	2	2	1	30.0	10.0	73.0	350.0
3	3	3	1	10.0	10.0	473.0	588.0
4	4	4	1	40.0	10.0	418.0	913.0
5	5	5	1	20.0	10.0	40.0	390.0
6	6	6	1	20.0	10.0	249.0	646.0
7	7	7	1	20.0	10.0	281.0	438.0
8	8	8	1	10.0	10.0	272.0	581.0
9	9	9	1	20.0	10.0	236.0	625.0
10	10	10	1	30.0	10.0	470.0	687.0
11	11	11	1	40.0	10.0	33.0	510.0
12	12	12	1	20.0	10.0	166.0	399.0
13	13	13	1	10.0	10.0	359.0	911.0
14	14	14	1	10.0	10.0	35.0	457.0
15	15	15	1	20.0	10.0	39.0	538.0
16	16	16	1	20.0	10.0	214.0	415.0
17	17	17	1	20.0	10.0	359.0	909.0
18	18	18	1	20.0	10.0	338.0	451.0
19	19	19	1	40.0	10.0	205.0	422.0
20	20	20	1	10.0	10.0	511.0	682.0
21	21	21	1	10.0	10.0	158.0	391.0
22	22	22	1	40.0	10.0	263.0	606.0
23	23	23	1	30.0	10.0	45.0	522.0
24	24	24	1	10.0	10.0	598.0	883.0
25	25	25	1	20.0	10.0	348.0	904.0
27	102	2	1	30.0	10.0	73.0	350.0
30	105	5	1	20.0	10.0	40.0	390.0
31	106	6	1	20.0	10.0	249.0	646.0
34	109	9	1	20.0	10.0	236.0	625.0
44	119	19	1	40.0	10.0	205.0	422.0
49	124	24	1	10.0	10.0	598.0	883.0
51	9999	0	1	0.0	0.0	0.0	960.0

OPERATIONS
ID	NO	TSK I ID	TSK J ID	MANDATORY	lambdaIJ	muIJ	muJI
0	1	34	9	1	0	0	-
1	2	27	2	1	0	0	-
2	3	49	24	1	0	0	-
3	4	30	5	1	0	0	-
4	5	19	44	1	0	0	-
5	6	6	31	1	0	0	-
