INSTANCE NAME	Solomon_C207-025
PLANNING HORIZON	3390.0
VEHICLE CAPACITY	700.0

LOCATIONS
ID	NO	XCOORD	YCOORD
0	0	40.0	50.0
1	1	52.0	75.0
2	2	45.0	70.0
3	3	62.0	69.0
4	4	60.0	66.0
5	5	42.0	65.0
6	6	16.0	42.0
7	7	58.0	70.0
8	8	34.0	60.0
9	9	28.0	70.0
10	10	35.0	66.0
11	11	35.0	69.0
12	12	25.0	85.0
13	13	22.0	75.0
14	14	22.0	85.0
15	15	20.0	80.0
16	16	20.0	85.0
17	17	18.0	75.0
18	18	15.0	75.0
19	19	15.0	80.0
20	20	30.0	50.0
21	21	30.0	56.0
22	22	28.0	52.0
23	23	14.0	66.0
24	24	25.0	50.0
25	25	22.0	66.0

TASKS
ID	NO	LOC ID	MANDATORY	DEMAND	SERVICE TIME	TW LOW	TW HIGH
1	1	1	1	10.0	90.0	302.0	479.0
2	2	2	1	30.0	90.0	157.0	428.0
3	3	3	1	10.0	90.0	1138.0	1355.0
4	4	4	1	10.0	90.0	1247.0	1434.0
5	5	5	1	10.0	90.0	15.0	208.0
6	6	6	1	20.0	90.0	209.0	944.0
7	7	7	1	20.0	90.0	1059.0	1246.0
8	8	8	1	20.0	90.0	2035.0	3288.0
9	9	9	1	10.0	90.0	2090.0	3271.0
10	10	10	1	10.0	90.0	2311.0	3283.0
11	11	11	1	10.0	90.0	2428.0	3127.0
12	12	12	1	20.0	90.0	1772.0	2625.0
13	13	13	1	30.0	90.0	2135.0	2834.0
14	14	14	1	10.0	90.0	1586.0	2625.0
15	15	15	1	40.0	90.0	1858.0	2733.0
16	16	16	1	40.0	90.0	1512.0	2515.0
17	17	17	1	20.0	90.0	1895.0	2886.0
18	18	18	1	20.0	90.0	1299.0	2344.0
19	19	19	1	10.0	90.0	1461.0	2372.0
20	20	20	1	10.0	90.0	10.0	963.0
21	21	21	1	20.0	90.0	2062.0	3288.0
22	22	22	1	20.0	90.0	12.0	752.0
23	23	23	1	10.0	90.0	1316.0	2129.0
24	24	24	1	10.0	90.0	15.0	532.0
25	25	25	1	40.0	90.0	2177.0	2990.0
26	101	1	1	10.0	90.0	302.0	479.0
28	103	3	1	10.0	90.0	1138.0	1355.0
29	104	4	1	10.0	90.0	1247.0	1434.0
36	111	11	1	10.0	90.0	2428.0	3127.0
46	121	21	1	20.0	90.0	2062.0	3288.0
48	123	23	1	10.0	90.0	1316.0	2129.0
51	9999	0	1	0.0	0.0	0.0	3390.0

OPERATIONS
ID	NO	TSK I ID	TSK J ID	MANDATORY	lambdaIJ	muIJ	muJI
0	1	29	4	1	0	0	-
1	2	1	26	1	0	0	-
2	3	28	3	1	0	0	-
3	4	36	11	1	0	0	-
4	5	46	21	1	0	0	-
5	6	48	23	1	0	0	-
