INSTANCE NAME	Solomon_R103-025
PLANNING HORIZON	230.0
VEHICLE CAPACITY	200.0

LOCATIONS
ID	NO	XCOORD	YCOORD
0	0	35.0	35.0
1	1	41.0	49.0
2	2	35.0	17.0
3	3	55.0	45.0
4	4	55.0	20.0
5	5	15.0	30.0
6	6	25.0	30.0
7	7	20.0	50.0
8	8	10.0	43.0
9	9	55.0	60.0
10	10	30.0	60.0
11	11	20.0	65.0
12	12	50.0	35.0
13	13	30.0	25.0
14	14	15.0	10.0
15	15	30.0	5.0
16	16	10.0	20.0
17	17	5.0	30.0
18	18	20.0	40.0
19	19	15.0	60.0
20	20	45.0	65.0
21	21	45.0	20.0
22	22	45.0	10.0
23	23	55.0	5.0
24	24	65.0	35.0
25	25	65.0	20.0

TASKS
ID	NO	LOC ID	MANDATORY	DEMAND	SERVICE TIME	TW LOW	TW HIGH
1	1	1	1	10.0	10.0	0.0	204.0
2	2	2	1	7.0	10.0	0.0	202.0
3	3	3	1	13.0	10.0	0.0	197.0
4	4	4	1	19.0	10.0	149.0	159.0
5	5	5	1	26.0	10.0	0.0	199.0
6	6	6	1	3.0	10.0	99.0	109.0
7	7	7	1	5.0	10.0	0.0	198.0
8	8	8	1	9.0	10.0	95.0	105.0
9	9	9	1	16.0	10.0	97.0	107.0
10	10	10	1	16.0	10.0	124.0	134.0
11	11	11	1	12.0	10.0	67.0	77.0
12	12	12	1	19.0	10.0	0.0	205.0
13	13	13	1	23.0	10.0	159.0	169.0
14	14	14	1	20.0	10.0	0.0	187.0
15	15	15	1	8.0	10.0	61.0	71.0
16	16	16	1	19.0	10.0	0.0	190.0
17	17	17	1	2.0	10.0	157.0	167.0
18	18	18	1	12.0	10.0	0.0	204.0
19	19	19	1	17.0	10.0	0.0	187.0
20	20	20	1	9.0	10.0	0.0	188.0
21	21	21	1	11.0	10.0	0.0	201.0
22	22	22	1	18.0	10.0	97.0	107.0
23	23	23	1	29.0	10.0	68.0	78.0
24	24	24	1	3.0	10.0	0.0	190.0
25	25	25	1	6.0	10.0	172.0	182.0
31	106	6	1	3.0	10.0	99.0	109.0
35	110	10	1	16.0	10.0	124.0	134.0
36	111	11	1	12.0	10.0	67.0	77.0
43	118	18	1	12.0	10.0	0.0	204.0
44	119	19	1	17.0	10.0	0.0	187.0
45	120	20	1	9.0	10.0	0.0	188.0
51	9999	0	1	0.0	0.0	0.0	230.0

OPERATIONS
ID	NO	TSK I ID	TSK J ID	MANDATORY	lambdaIJ	muIJ	muJI
0	1	45	20	1	0	0	-
1	2	43	18	1	0	0	-
2	3	11	36	1	0	0	-
3	4	19	44	1	0	0	-
4	5	31	6	1	0	0	-
5	6	35	10	1	0	0	-
