INSTANCE NAME	Solomon_R211-025
PLANNING HORIZON	1000.0
VEHICLE CAPACITY	1000.0

LOCATIONS
ID	NO	XCOORD	YCOORD
0	0	35.0	35.0
1	1	41.0	49.0
2	2	35.0	17.0
3	3	55.0	45.0
4	4	55.0	20.0
5	5	15.0	30.0
6	6	25.0	30.0
7	7	20.0	50.0
8	8	10.0	43.0
9	9	55.0	60.0
10	10	30.0	60.0
11	11	20.0	65.0
12	12	50.0	35.0
13	13	30.0	25.0
14	14	15.0	10.0
15	15	30.0	5.0
16	16	10.0	20.0
17	17	5.0	30.0
18	18	20.0	40.0
19	19	15.0	60.0
20	20	45.0	65.0
21	21	45.0	20.0
22	22	45.0	10.0
23	23	55.0	5.0
24	24	65.0	35.0
25	25	65.0	20.0

TASKS
ID	NO	LOC ID	MANDATORY	DEMAND	SERVICE TIME	TW LOW	TW HIGH
1	1	1	1	10.0	10.0	451.0	974.0
2	2	2	1	7.0	10.0	18.0	534.0
3	3	3	1	13.0	10.0	378.0	733.0
4	4	4	1	19.0	10.0	477.0	965.0
5	5	5	1	26.0	10.0	20.0	610.0
6	6	6	1	3.0	10.0	245.0	684.0
7	7	7	1	5.0	10.0	172.0	569.0
8	8	8	1	9.0	10.0	245.0	640.0
9	9	9	1	16.0	10.0	231.0	666.0
10	10	10	1	16.0	10.0	430.0	779.0
11	11	11	1	12.0	10.0	33.0	511.0
12	12	12	1	19.0	10.0	50.0	523.0
13	13	13	1	23.0	10.0	462.0	978.0
14	14	14	1	20.0	10.0	32.0	694.0
15	15	15	1	8.0	10.0	30.0	519.0
16	16	16	1	19.0	10.0	102.0	543.0
17	17	17	1	2.0	10.0	444.0	959.0
18	18	18	1	12.0	10.0	229.0	582.0
19	19	19	1	17.0	10.0	95.0	552.0
20	20	20	1	9.0	10.0	418.0	829.0
21	21	21	1	11.0	10.0	36.0	509.0
22	22	22	1	18.0	10.0	246.0	657.0
23	23	23	1	29.0	10.0	36.0	514.0
24	24	24	1	3.0	10.0	435.0	960.0
25	25	25	1	6.0	10.0	438.0	956.0
27	102	2	1	7.0	10.0	18.0	534.0
29	104	4	1	19.0	10.0	477.0	965.0
33	108	8	1	9.0	10.0	245.0	640.0
35	110	10	1	16.0	10.0	430.0	779.0
42	117	17	1	2.0	10.0	444.0	959.0
46	121	21	1	11.0	10.0	36.0	509.0
51	9999	0	1	0.0	0.0	0.0	1000.0

OPERATIONS
ID	NO	TSK I ID	TSK J ID	MANDATORY	lambdaIJ	muIJ	muJI
0	1	17	42	1	0	7	-
1	2	33	8	1	0	7	-
2	3	21	46	1	0	7	-
3	4	27	2	1	0	7	-
4	5	4	29	1	0	7	-
5	6	10	35	1	0	7	-
