INSTANCE NAME	Solomon_RC108-025
PLANNING HORIZON	240.0
VEHICLE CAPACITY	200.0

LOCATIONS
ID	NO	XCOORD	YCOORD
0	0	40.0	50.0
1	1	25.0	85.0
2	2	22.0	75.0
3	3	22.0	85.0
4	4	20.0	80.0
5	5	20.0	85.0
6	6	18.0	75.0
7	7	15.0	75.0
8	8	15.0	80.0
9	9	10.0	35.0
10	10	10.0	40.0
11	11	8.0	40.0
12	12	8.0	45.0
13	13	5.0	35.0
14	14	5.0	45.0
15	15	2.0	40.0
16	16	0.0	40.0
17	17	0.0	45.0
18	18	44.0	5.0
19	19	42.0	10.0
20	20	42.0	15.0
21	21	40.0	5.0
22	22	40.0	15.0
23	23	38.0	5.0
24	24	38.0	15.0
25	25	35.0	5.0

TASKS
ID	NO	LOC ID	MANDATORY	DEMAND	SERVICE TIME	TW LOW	TW HIGH
1	1	1	1	20.0	10.0	49.0	191.0
2	2	2	1	30.0	10.0	30.0	168.0
3	3	3	1	10.0	10.0	95.0	152.0
4	4	4	1	40.0	10.0	69.0	193.0
5	5	5	1	20.0	10.0	40.0	189.0
6	6	6	1	20.0	10.0	60.0	159.0
7	7	7	1	20.0	10.0	54.0	133.0
8	8	8	1	10.0	10.0	67.0	144.0
9	9	9	1	20.0	10.0	57.0	154.0
10	10	10	1	30.0	10.0	106.0	161.0
11	11	11	1	40.0	10.0	33.0	152.0
12	12	12	1	20.0	10.0	32.0	148.0
13	13	13	1	10.0	10.0	53.0	191.0
14	14	14	1	10.0	10.0	35.0	194.0
15	15	15	1	20.0	10.0	39.0	163.0
16	16	16	1	20.0	10.0	41.0	141.0
17	17	17	1	20.0	10.0	51.0	189.0
18	18	18	1	20.0	10.0	73.0	130.0
19	19	19	1	40.0	10.0	40.0	148.0
20	20	20	1	10.0	10.0	94.0	179.0
21	21	21	1	10.0	10.0	45.0	161.0
22	22	22	1	40.0	10.0	64.0	149.0
23	23	23	1	30.0	10.0	45.0	164.0
24	24	24	1	10.0	10.0	51.0	194.0
25	25	25	1	20.0	10.0	45.0	183.0
27	102	2	1	30.0	10.0	30.0	168.0
29	104	4	1	40.0	10.0	69.0	193.0
31	106	6	1	20.0	10.0	60.0	159.0
34	109	9	1	20.0	10.0	57.0	154.0
46	121	21	1	10.0	10.0	45.0	161.0
47	122	22	1	40.0	10.0	64.0	149.0
51	9999	0	1	0.0	0.0	0.0	240.0

OPERATIONS
ID	NO	TSK I ID	TSK J ID	MANDATORY	lambdaIJ	muIJ	muJI
0	1	47	22	1	0	0	-
1	2	29	4	1	0	0	-
2	3	27	2	1	0	0	-
3	4	21	46	1	0	0	-
4	5	6	31	1	0	0	-
5	6	9	34	1	0	0	-
