INSTANCE NAME	Solomon_C105-025
PLANNING HORIZON	1236.0
VEHICLE CAPACITY	200.0

LOCATIONS
ID	NO	XCOORD	YCOORD
0	0	40.0	50.0
1	1	45.0	68.0
2	2	45.0	70.0
3	3	42.0	66.0
4	4	42.0	68.0
5	5	42.0	65.0
6	6	40.0	69.0
7	7	40.0	66.0
8	8	38.0	68.0
9	9	38.0	70.0
10	10	35.0	66.0
11	11	35.0	69.0
12	12	25.0	85.0
13	13	22.0	75.0
14	14	22.0	85.0
15	15	20.0	80.0
16	16	20.0	85.0
17	17	18.0	75.0
18	18	15.0	75.0
19	19	15.0	80.0
20	20	30.0	50.0
21	21	30.0	52.0
22	22	28.0	52.0
23	23	28.0	55.0
24	24	25.0	50.0
25	25	25.0	52.0

TASKS
ID	NO	LOC ID	MANDATORY	DEMAND	SERVICE TIME	TW LOW	TW HIGH
1	1	1	1	10.0	90.0	885.0	994.0
2	2	2	1	30.0	90.0	802.0	893.0
3	3	3	1	10.0	90.0	25.0	186.0
4	4	4	1	10.0	90.0	699.0	810.0
5	5	5	1	10.0	90.0	15.0	120.0
6	6	6	1	20.0	90.0	580.0	743.0
7	7	7	1	20.0	90.0	142.0	253.0
8	8	8	1	20.0	90.0	220.0	359.0
9	9	9	1	10.0	90.0	499.0	640.0
10	10	10	1	10.0	90.0	331.0	436.0
11	11	11	1	10.0	90.0	420.0	533.0
12	12	12	1	20.0	90.0	617.0	756.0
13	13	13	1	30.0	90.0	30.0	155.0
14	14	14	1	10.0	90.0	541.0	646.0
15	15	15	1	40.0	90.0	362.0	451.0
16	16	16	1	40.0	90.0	448.0	555.0
17	17	17	1	20.0	90.0	75.0	172.0
18	18	18	1	20.0	90.0	142.0	291.0
19	19	19	1	10.0	90.0	244.0	379.0
20	20	20	1	10.0	90.0	10.0	137.0
21	21	21	1	20.0	90.0	888.0	991.0
22	22	22	1	20.0	90.0	776.0	919.0
23	23	23	1	10.0	90.0	709.0	800.0
24	24	24	1	10.0	90.0	25.0	184.0
25	25	25	1	40.0	90.0	142.0	251.0
30	105	5	1	10.0	90.0	15.0	120.0
33	108	8	1	20.0	90.0	220.0	359.0
36	111	11	1	10.0	90.0	420.0	533.0
40	115	15	1	40.0	90.0	362.0	451.0
46	121	21	1	20.0	90.0	888.0	991.0
47	122	22	1	20.0	90.0	776.0	919.0
51	9999	0	1	0.0	0.0	0.0	1236.0

OPERATIONS
ID	NO	TSK I ID	TSK J ID	MANDATORY	lambdaIJ	muIJ	muJI
0	1	22	47	1	0	0	-
1	2	21	46	1	0	0	-
2	3	5	30	1	0	0	-
3	4	40	15	1	0	0	-
4	5	11	36	1	0	0	-
5	6	33	8	1	0	0	-
