INSTANCE NAME	Solomon_RC204-025
PLANNING HORIZON	960.0
VEHICLE CAPACITY	1000.0

LOCATIONS
ID	NO	XCOORD	YCOORD
0	0	40.0	50.0
1	1	25.0	85.0
2	2	22.0	75.0
3	3	22.0	85.0
4	4	20.0	80.0
5	5	20.0	85.0
6	6	18.0	75.0
7	7	15.0	75.0
8	8	15.0	80.0
9	9	10.0	35.0
10	10	10.0	40.0
11	11	8.0	40.0
12	12	8.0	45.0
13	13	5.0	35.0
14	14	5.0	45.0
15	15	2.0	40.0
16	16	0.0	40.0
17	17	0.0	45.0
18	18	44.0	5.0
19	19	42.0	10.0
20	20	42.0	15.0
21	21	40.0	5.0
22	22	40.0	15.0
23	23	38.0	5.0
24	24	38.0	15.0
25	25	35.0	5.0

TASKS
ID	NO	LOC ID	MANDATORY	DEMAND	SERVICE TIME	TW LOW	TW HIGH
1	1	1	1	20.0	10.0	0.0	911.0
2	2	2	1	30.0	10.0	0.0	919.0
3	3	3	1	10.0	10.0	0.0	910.0
4	4	4	1	40.0	10.0	644.0	764.0
5	5	5	1	20.0	10.0	0.0	909.0
6	6	6	1	20.0	10.0	0.0	916.0
7	7	7	1	20.0	10.0	0.0	914.0
8	8	8	1	10.0	10.0	367.0	487.0
9	9	9	1	20.0	10.0	371.0	491.0
10	10	10	1	30.0	10.0	0.0	918.0
11	11	11	1	40.0	10.0	195.0	315.0
12	12	12	1	20.0	10.0	0.0	917.0
13	13	13	1	10.0	10.0	653.0	773.0
14	14	14	1	10.0	10.0	0.0	914.0
15	15	15	1	20.0	10.0	174.0	294.0
16	16	16	1	20.0	10.0	0.0	908.0
17	17	17	1	20.0	10.0	0.0	909.0
18	18	18	1	20.0	10.0	0.0	904.0
19	19	19	1	40.0	10.0	0.0	909.0
20	20	20	1	10.0	10.0	0.0	914.0
21	21	21	1	10.0	10.0	0.0	905.0
22	22	22	1	40.0	10.0	0.0	915.0
23	23	23	1	30.0	10.0	201.0	321.0
24	24	24	1	10.0	10.0	0.0	914.0
25	25	25	1	20.0	10.0	784.0	904.0
27	102	2	1	30.0	10.0	0.0	919.0
31	106	6	1	20.0	10.0	0.0	916.0
35	110	10	1	30.0	10.0	0.0	918.0
37	112	12	1	20.0	10.0	0.0	917.0
40	115	15	1	20.0	10.0	174.0	294.0
49	124	24	1	10.0	10.0	0.0	914.0
51	9999	0	1	0.0	0.0	0.0	960.0

OPERATIONS
ID	NO	TSK I ID	TSK J ID	MANDATORY	lambdaIJ	muIJ	muJI
0	1	12	37	1	0	0	-
1	2	6	31	1	0	0	-
2	3	40	15	1	0	0	-
3	4	27	2	1	0	0	-
4	5	10	35	1	0	0	-
5	6	24	49	1	0	0	-
