INSTANCE NAME	Solomon_C108-025
PLANNING HORIZON	1236.0
VEHICLE CAPACITY	200.0

LOCATIONS
ID	NO	XCOORD	YCOORD
0	0	40.0	50.0
1	1	45.0	68.0
2	2	45.0	70.0
3	3	42.0	66.0
4	4	42.0	68.0
5	5	42.0	65.0
6	6	40.0	69.0
7	7	40.0	66.0
8	8	38.0	68.0
9	9	38.0	70.0
10	10	35.0	66.0
11	11	35.0	69.0
12	12	25.0	85.0
13	13	22.0	75.0
14	14	22.0	85.0
15	15	20.0	80.0
16	16	20.0	85.0
17	17	18.0	75.0
18	18	15.0	75.0
19	19	15.0	80.0
20	20	30.0	50.0
21	21	30.0	52.0
22	22	28.0	52.0
23	23	28.0	55.0
24	24	25.0	50.0
25	25	25.0	52.0

TASKS
ID	NO	LOC ID	MANDATORY	DEMAND	SERVICE TIME	TW LOW	TW HIGH
1	1	1	1	10.0	90.0	830.0	1049.0
2	2	2	1	30.0	90.0	756.0	939.0
3	3	3	1	10.0	90.0	16.0	336.0
4	4	4	1	10.0	90.0	643.0	866.0
5	5	5	1	10.0	90.0	15.0	226.0
6	6	6	1	20.0	90.0	499.0	824.0
7	7	7	1	20.0	90.0	87.0	308.0
8	8	8	1	20.0	90.0	150.0	429.0
9	9	9	1	10.0	90.0	429.0	710.0
10	10	10	1	10.0	90.0	279.0	488.0
11	11	11	1	10.0	90.0	363.0	590.0
12	12	12	1	20.0	90.0	547.0	826.0
13	13	13	1	30.0	90.0	30.0	280.0
14	14	14	1	10.0	90.0	489.0	698.0
15	15	15	1	40.0	90.0	318.0	495.0
16	16	16	1	40.0	90.0	394.0	609.0
17	17	17	1	20.0	90.0	33.0	226.0
18	18	18	1	20.0	90.0	68.0	365.0
19	19	19	1	10.0	90.0	176.0	447.0
20	20	20	1	10.0	90.0	10.0	265.0
21	21	21	1	20.0	90.0	836.0	1043.0
22	22	22	1	20.0	90.0	704.0	991.0
23	23	23	1	10.0	90.0	664.0	845.0
24	24	24	1	10.0	90.0	15.0	333.0
25	25	25	1	40.0	90.0	88.0	305.0
30	105	5	1	10.0	90.0	15.0	226.0
32	107	7	1	20.0	90.0	87.0	308.0
36	111	11	1	10.0	90.0	363.0	590.0
37	112	12	1	20.0	90.0	547.0	826.0
38	113	13	1	30.0	90.0	30.0	280.0
50	125	25	1	40.0	90.0	88.0	305.0
51	9999	0	1	0.0	0.0	0.0	1236.0

OPERATIONS
ID	NO	TSK I ID	TSK J ID	MANDATORY	lambdaIJ	muIJ	muJI
0	1	5	30	1	0	0	-
1	2	50	25	1	0	0	-
2	3	11	36	1	0	0	-
3	4	7	32	1	0	0	-
4	5	38	13	1	0	0	-
5	6	37	12	1	0	0	-
