INSTANCE NAME	Solomon_R111-025
PLANNING HORIZON	230.0
VEHICLE CAPACITY	200.0

LOCATIONS
ID	NO	XCOORD	YCOORD
0	0	35.0	35.0
1	1	41.0	49.0
2	2	35.0	17.0
3	3	55.0	45.0
4	4	55.0	20.0
5	5	15.0	30.0
6	6	25.0	30.0
7	7	20.0	50.0
8	8	10.0	43.0
9	9	55.0	60.0
10	10	30.0	60.0
11	11	20.0	65.0
12	12	50.0	35.0
13	13	30.0	25.0
14	14	15.0	10.0
15	15	30.0	5.0
16	16	10.0	20.0
17	17	5.0	30.0
18	18	20.0	40.0
19	19	15.0	60.0
20	20	45.0	65.0
21	21	45.0	20.0
22	22	45.0	10.0
23	23	55.0	5.0
24	24	65.0	35.0
25	25	65.0	20.0

TASKS
ID	NO	LOC ID	MANDATORY	DEMAND	SERVICE TIME	TW LOW	TW HIGH
1	1	1	1	10.0	10.0	15.0	204.0
2	2	2	1	7.0	10.0	18.0	202.0
3	3	3	1	13.0	10.0	54.0	187.0
4	4	4	1	19.0	10.0	138.0	169.0
5	5	5	1	26.0	10.0	20.0	199.0
6	6	6	1	3.0	10.0	76.0	131.0
7	7	7	1	5.0	10.0	21.0	170.0
8	8	8	1	9.0	10.0	87.0	112.0
9	9	9	1	16.0	10.0	88.0	115.0
10	10	10	1	16.0	10.0	107.0	150.0
11	11	11	1	12.0	10.0	57.0	86.0
12	12	12	1	19.0	10.0	15.0	192.0
13	13	13	1	23.0	10.0	147.0	180.0
14	14	14	1	20.0	10.0	32.0	187.0
15	15	15	1	8.0	10.0	50.0	81.0
16	16	16	1	19.0	10.0	29.0	139.0
17	17	17	1	2.0	10.0	124.0	189.0
18	18	18	1	12.0	10.0	47.0	136.0
19	19	19	1	17.0	10.0	32.0	146.0
20	20	20	1	9.0	10.0	79.0	182.0
21	21	21	1	11.0	10.0	18.0	195.0
22	22	22	1	18.0	10.0	76.0	127.0
23	23	23	1	29.0	10.0	58.0	87.0
24	24	24	1	3.0	10.0	58.0	190.0
25	25	25	1	6.0	10.0	153.0	186.0
26	101	1	1	10.0	10.0	15.0	204.0
29	104	4	1	19.0	10.0	138.0	169.0
33	108	8	1	9.0	10.0	87.0	112.0
34	109	9	1	16.0	10.0	88.0	115.0
38	113	13	1	23.0	10.0	147.0	180.0
47	122	22	1	18.0	10.0	76.0	127.0
51	9999	0	1	0.0	0.0	0.0	230.0

OPERATIONS
ID	NO	TSK I ID	TSK J ID	MANDATORY	lambdaIJ	muIJ	muJI
0	1	26	1	1	0	7	-
1	2	9	34	1	0	7	-
2	3	33	8	1	0	7	-
3	4	4	29	1	0	7	-
4	5	38	13	1	0	7	-
5	6	22	47	1	0	7	-
