INSTANCE NAME	Solomon_R209-025
PLANNING HORIZON	1000.0
VEHICLE CAPACITY	1000.0

LOCATIONS
ID	NO	XCOORD	YCOORD
0	0	35.0	35.0
1	1	41.0	49.0
2	2	35.0	17.0
3	3	55.0	45.0
4	4	55.0	20.0
5	5	15.0	30.0
6	6	25.0	30.0
7	7	20.0	50.0
8	8	10.0	43.0
9	9	55.0	60.0
10	10	30.0	60.0
11	11	20.0	65.0
12	12	50.0	35.0
13	13	30.0	25.0
14	14	15.0	10.0
15	15	30.0	5.0
16	16	10.0	20.0
17	17	5.0	30.0
18	18	20.0	40.0
19	19	15.0	60.0
20	20	45.0	65.0
21	21	45.0	20.0
22	22	45.0	10.0
23	23	55.0	5.0
24	24	65.0	35.0
25	25	65.0	20.0

TASKS
ID	NO	LOC ID	MANDATORY	DEMAND	SERVICE TIME	TW LOW	TW HIGH
1	1	1	1	10.0	10.0	636.0	919.0
2	2	2	1	7.0	10.0	74.0	351.0
3	3	3	1	13.0	10.0	498.0	613.0
4	4	4	1	19.0	10.0	470.0	965.0
5	5	5	1	26.0	10.0	20.0	370.0
6	6	6	1	3.0	10.0	266.0	663.0
7	7	7	1	5.0	10.0	292.0	449.0
8	8	8	1	9.0	10.0	288.0	597.0
9	9	9	1	16.0	10.0	254.0	643.0
10	10	10	1	16.0	10.0	496.0	713.0
11	11	11	1	12.0	10.0	33.0	510.0
12	12	12	1	19.0	10.0	170.0	403.0
13	13	13	1	23.0	10.0	426.0	978.0
14	14	14	1	20.0	10.0	32.0	454.0
15	15	15	1	8.0	10.0	30.0	529.0
16	16	16	1	19.0	10.0	222.0	423.0
17	17	17	1	2.0	10.0	409.0	959.0
18	18	18	1	12.0	10.0	349.0	462.0
19	19	19	1	17.0	10.0	215.0	432.0
20	20	20	1	9.0	10.0	538.0	709.0
21	21	21	1	11.0	10.0	156.0	389.0
22	22	22	1	18.0	10.0	280.0	623.0
23	23	23	1	29.0	10.0	36.0	513.0
24	24	24	1	3.0	10.0	633.0	918.0
25	25	25	1	6.0	10.0	400.0	956.0
30	105	5	1	26.0	10.0	20.0	370.0
34	109	9	1	16.0	10.0	254.0	643.0
35	110	10	1	16.0	10.0	496.0	713.0
38	113	13	1	23.0	10.0	426.0	978.0
40	115	15	1	8.0	10.0	30.0	529.0
44	119	19	1	17.0	10.0	215.0	432.0
51	9999	0	1	0.0	0.0	0.0	1000.0

OPERATIONS
ID	NO	TSK I ID	TSK J ID	MANDATORY	lambdaIJ	muIJ	muJI
0	1	34	9	1	0	0	-
1	2	38	13	1	0	0	-
2	3	35	10	1	0	0	-
3	4	5	30	1	0	0	-
4	5	15	40	1	0	0	-
5	6	44	19	1	0	0	-
